X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
116.25,10.13,277.59,226.2,257.21,261.41,262.2,264.25,302.81,279.98,288.32,257.15,267.43
117.75,10.13,232.45,196.95,235.39,238.19,247.57,243.14,273.83,258.41,285.21,237.41,240.26
119.25,10.13,158.3,140.3,172.14,177.11,188.67,182.54,201.5,193.21,216.56,174.35,174.89
120.75,10.13,102.65,93.34,115.55,122.86,132.86,127.22,138.98,133.42,147.04,116.7,118.29
122.25,10.13,70.95,65.07,79.91,88.41,96.55,91.43,99.89,95.55,101.34,80.76,83.81
123.75,10.13,55.72,50.52,61.76,69.97,77.04,72.07,79.74,75.49,76.75,62,66.34
125.25,10.13,49.8,44.45,54.28,61.63,68.36,63.71,70.7,67.01,65.63,54.2,59.74
126.75,10.13,49.14,43.16,53.18,59.26,65.78,61.49,67.7,64.67,62.59,52.57,58.64
128.25,10.13,51.74,44.95,55.61,59.88,66.41,62.48,67.62,65.06,64.68,54.56,59.79
129.75,10.13,56.24,49.03,59.99,61.97,68.39,64.45,68.09,66.44,70.2,58.97,61.58
131.25,10.13,61.89,54.84,65.47,64.29,70.83,66.33,68.38,67.41,77.99,64.36,62.92
132.75,10.13,67.01,61.71,70.69,66.49,73.27,68.12,68.16,68.21,86.41,69.9,64.05
134.25,10.13,70.12,67.5,74.36,68.21,74.88,69.15,67.68,68.28,93.23,73.99,64.54
135.75,10.13,70.81,71.19,75.52,69.18,75.47,69.52,66.55,67.77,96.35,75.79,64.75
137.25,10.13,69.84,72.17,74.26,69.37,75.03,68.88,64.93,66.43,95.14,74.87,64.42
138.75,10.13,68.38,71.39,71.65,69.15,74.28,68.04,63.68,65.22,91.33,72.64,64.05
140.25,10.13,67.42,69.75,68.96,69.33,73.72,67.67,63.22,64.89,86.66,70.16,64.08
141.75,10.13,66.44,67.65,66.56,69.69,73.2,67.76,63.25,65.12,82.19,67.71,64.31
143.25,10.13,65.29,65.41,64.66,69.61,72.21,67.77,63.06,65.13,78.46,65.5,64.2
144.75,10.13,64.8,63.76,63.61,68.97,70.74,67.47,62.56,64.66,75.94,64.13,63.75
