X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9
152.25,1.13,688.43,682.62,673.58,719.14,632.97,655.52,646.96,622.74,585.79
153.75,1.13,467.35,469.88,466.34,465.9,456.21,463.84,465.17,455.27,451.08
155.25,1.13,763.49,783.05,780.76,752.27,782.53,764.29,772.74,765.55,780.1
156.75,1.13,413.18,412.01,411.08,406.03,426.71,405.26,411.16,416.82,416.16
158.25,1.13,490.96,499.21,497.65,480.74,488.92,485.83,493.33,477.37,507.49
159.75,1.13,813.25,784.27,794.87,908.04,774.07,940.7,828.18,820.47,781.25
161.25,1.13,839.72,785.88,815.31,940.28,879.09,893.71,740.68,805.12,692.48
162.75,1.13,610.35,590.9,617.73,754.75,541.52,658.6,530.53,545.45,483.12
164.25,1.13,543.28,544.46,554.05,588.15,514.99,512.62,480.12,478.53,442.13
165.75,1.13,470.33,471.67,474.81,452.74,473.71,434.18,442.97,431.99,406.89
167.25,1.13,441.63,432.08,439.79,452.43,462.76,437.67,416.18,439.47,392.13
168.75,1.13,757.78,788.69,797.21,791.81,762.16,782.95,745.78,715.55,683.97
170.25,1.13,782.78,689.58,682.5,820.8,691.54,785.84,646.94,694.24,597.87
171.75,1.13,439.3,491.23,488.47,475.14,433.01,467.07,475.43,420.26,446.57
173.25,1.13,189.98,185.94,186.59,184.26,207.71,191.78,188.44,186.82,175.23
174.75,1.13,240.66,238.73,241.73,242.04,249.2,238.5,243.78,247.07,187.72
176.25,1.13,260.82,258.07,258.72,244.05,258.99,243.07,254.4,266.73,181.45
3.75,1.91,38.55,31.9,32.32,36.63,25.97,28.84,30.49,31.03,25.86
5.25,1.91,7.86,8.31,8.12,9,15.3,17.52,15.48,16.07,17.4
6.75,1.91,2.27,2.48,2.22,2.43,13.37,9.54,7.41,12.84,7.74
8.25,1.91,13.56,16.2,15.07,3.31,10.42,8.25,7.82,14.37,9.78
9.75,1.91,16.61,17.99,17.44,23.61,8.35,11.41,8.3,17.83,14.5
11.25,1.91,7.11,6.95,6.82,24.36,4.77,13.63,8.28,10.8,7.35
12.75,1.91,4.53,4.45,4.2,4.8,16.94,18.11,6.64,9.41,6.3
14.25,1.91,26.83,28.02,35.15,70.32,32.23,55.16,25.79,34.76,86.76
15.75,1.91,14.27,10.4,12.92,18.74,32.87,21.67,81.01,46.76,28.05
17.25,1.91,23.19,14.99,16.8,26.95,1.13,5.56,37.42,22.81,2.08
18.75,1.91,116.88,145.26,71.54,232.99,135.63,120.96,163.28,133.49,174.42
20.25,1.91,249.57,424.13,898.36,461.45,1027.8,1043,123.84,325.29,639.1
21.75,1.91,138.99,214.33,605.6,496.72,94.61,898.76,535.65,64.22,81.29
23.25,1.91,123.81,131.58,109.1,86.98,158.36,256.79,323.39,218.72,245.43
24.75,1.91,126.08,227.72,132.57,250.32,663.76,284.37,662.12,1328.6,934.52
26.25,1.91,92.09,240.68,83.58,723.72,1329.5,429.97,789.02,1152,1397.1
27.75,1.91,294.51,470.22,193.68,872.89,565.14,331.72,446.73,257.79,873.57
29.25,1.91,1712.1,642.57,1026.2,186.75,203.29,438.29,521.91,515.2,185.01
30.75,1.91,970.86,1363.4,1204.4,774.78,194.07,494.32,551.82,187.13,105.79
32.25,1.91,139.72,171.41,297.1,289.01,525.85,378.49,185.58,187.27,504.98
33.75,1.91,109.53,180.7,193.96,293.2,594.17,448.56,491.36,521.12,869.46
35.25,1.91,533.89,575.49,543.3,578.23,571.1,600.92,729.18,584.41,660.74
36.75,1.91,610.92,194.5,408.26,302.55,205.55,87.91,252.3,253.67,190.76
38.25,1.91,1050.8,825.92,424.92,503.2,185.61,451.18,207.14,272.39,189.29
39.75,1.91,334.24,275.72,225.86,234.01,167.79,191.77,182.43,233.58,188.54
41.25,1.91,69.94,78.68,77.4,124.17,133.67,132.96,141.04,117.58,135.57
42.75,1.91,65.21,100.71,64.7,67.24,167.01,190.95,163.71,180.23,142.35
44.25,1.91,816.93,753.75,769.67,357.18,475.91,493.74,525.37,682.27,637.14
