X,Depth,R1,R2,R3,R4,R5,R6,R7
41.25,2.78,143.15,272.41,183.12,170.47,216.21,123.45,146.62
42.75,2.78,285.72,437.31,278.15,342.83,274.32,218.86,278.57
44.25,2.78,752.74,1053.8,950.03,1014.8,1121.3,995.53,1014.2
45.75,2.78,693.48,1268.4,598.07,1157.8,570.15,593.65,707.3
47.25,2.78,323.21,366.16,413.29,366.24,377.89,352.02,396.74
48.75,2.78,226.79,186.45,331.2,202.91,368.67,321.3,204.51
50.25,2.78,235.1,207.89,301.47,211.95,259.65,286.68,220.75
51.75,2.78,197.45,177.66,206.16,172.22,175.25,177.2,164.67
53.25,2.78,165.67,140.31,149.82,134.23,131.6,134.28,144.14
54.75,2.78,262.09,201.57,258.8,208.31,228.71,270.71,235.08
56.25,2.78,364.39,301.62,331.33,332.47,316.28,359.36,337.83
